Gene_model,UniProt identifier (top hit and/or top hit with annotated GO),Description(s) of hit(s),E-value,Gene Ontology (GO) term,KEGG Orthology (KO) term,Pfam identifier,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
SymbC1.scaffold2373.2,sp|Q9LF30|RS192_ARATH,40S ribosomal protein S19-2 OS=Arabidopsis thaliana GN=RPS19B PE=2 SV=1,6.96E-56,GO:0005622;GO:0030529;GO:0005840;GO:0009506;GO:0022627;GO:0006412;GO:0005829;GO:0042256;GO:0000028;GO:0003735;GO:0016020;GO:0003729;GO:0005730,K02966,PF01090,81.14153492,-0.494491871,0.154815125,-3.194079845,0.001402773,0.005203577,TRUE
SymbC1.scaffold2373.3,tr|A0A1Q9DNE4|A0A1Q9DNE4_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene21049 PE=4 SV=1,2.71E-06,GO:0003676;GO:0090305;GO:0006139;GO:0008408,NA,NA,86.84182028,0.303473636,0.089563742,3.388353683,0.000703,0.002843568,TRUE
SymbC1.scaffold2373.4,tr|A0A1Q9EED2|A0A1Q9EED2_SYMMI,Ankyrin repeat domain-containing protein 50 OS=Symbiodinium microadriaticum GN=ANKRD50 PE=4 SV=1,1.86E-38,GO:0016791;GO:0006470;GO:0008138;GO:0004725;GO:0035335;GO:0016311,NA,NA,15.74910603,1.25699106,0.197815968,6.354345773,2.09E-10,3.09E-09,TRUE
SymbC1.scaffold2373.6,sp|Q9ULJ7|ANR50_HUMAN,Ankyrin repeat domain-containing protein 50 OS=Homo sapiens GN=ANKRD50 PE=1 SV=4,6.13E-40,GO:0006810;GO:0015031;GO:0005515;GO:0005768;GO:1990126,NA,PF12796,58.95300581,0.431088036,0.138557872,3.111248964,0.001862978,0.006670977,TRUE
SymbC1.scaffold2373.8,tr|A0A1Q9E833|A0A1Q9E833_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene13472 PE=4 SV=1,2.53E-24,NA,NA,NA,32.17044571,0.992033518,0.139163964,7.128522996,1.01E-12,2.09E-11,TRUE
SymbC1.scaffold2375.1,sp|Q54VI1|FHKE_DICDI,Probable serine/threonine-protein kinase fhkE OS=Dictyostelium discoideum GN=fhkE PE=3 SV=1,8.69E-37,GO:0000077;GO:0016301;GO:0004674;GO:0005575;GO:0018107;GO:0004672;GO:0006468;GO:0044773;GO:0005634;GO:0016310;GO:0006974;GO:0018105;GO:0005524;GO:0042770;GO:0000166;GO:0016740,NA,PF00085;PF00069,109.2479151,0.281770094,0.070554056,3.993676737,0.0000651,0.000346,TRUE
SymbC1.scaffold2376.2,tr|A0A1Q9CTM5|A0A1Q9CTM5_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene32680 PE=4 SV=1,2.21E-42,GO:0016021;GO:0016020,NA,NA,30.79642505,1.103917532,0.178793824,6.174248681,6.65E-10,9.11E-09,TRUE
SymbC1.scaffold2377.2,sp|P07260|IF4E_YEAST,Eukaryotic translation initiation factor 4E OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC33 PE=1 SV=1,6.73E-19,GO:0003743;GO:0006417;GO:0051726;GO:0005737;GO:0005634;GO:0000184;GO:0006412;GO:0016281;GO:0003723;GO:0005840;GO:0005515;GO:0006413;GO:0010494;GO:0032266,K03259,PF01652,63.62141511,0.488095477,0.122924212,3.970702517,0.0000717,0.000377,TRUE
SymbC1.scaffold2378.1,tr|A0A1Q9EFQ1|A0A1Q9EFQ1_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene10492 PE=4 SV=1,2.04E-89,NA,NA,PF00630,19.91969902,2.586875933,0.218562038,11.8358886,2.55E-32,3.62E-30,TRUE
SymbC1.scaffold2378.2,sp|Q9M081|SC24B_ARATH,Protein transport protein Sec24-like At4g32640 OS=Arabidopsis thaliana GN=At4g32640 PE=3 SV=3,3.5E-86,GO:0016020;GO:0006810;GO:0005783;GO:0006886;GO:0030127;GO:0005789;GO:0000139;GO:0033116;GO:0016192;GO:0008270;GO:0015031;GO:0005794;GO:0006888,K14007,PF08033;PF04810;PF04811,119.376769,0.835170495,0.110047653,7.589171337,3.22E-14,8.17E-13,TRUE
SymbC1.scaffold2379.3,sp|Q54DK4|AK1_DICDI,Alpha-protein kinase 1 OS=Dictyostelium discoideum GN=ak1 PE=3 SV=1,1.48E-22,GO:0005524;GO:0043547;GO:0046872;GO:0005575;GO:0004674;GO:0016310;GO:0016301;GO:0016740;GO:0000166;GO:0016905;GO:0005096;GO:0006468;GO:0005826;GO:0031038,NA,PF13920;PF02816,18.21040303,2.966759402,0.465433206,6.374189385,1.84E-10,2.74E-09,TRUE
SymbC1.scaffold2379.5,sp|Q6GBD5|NORA_STAAS,Quinolone resistance protein NorA OS=Staphylococcus aureus (strain MSSA476) GN=norA PE=3 SV=1,7.28E-06,GO:0005886;GO:0016021;GO:0006855;GO:0015238;GO:0005215;GO:0015893;GO:0016020;GO:0006810;GO:0055085,K19576,PF07690,51.31220211,-0.376080622,0.110093441,-3.416012973,0.000635,0.002606728,TRUE
SymbC1.scaffold238.10,sp|Q54KI4|EPS15_DICDI,Epidermal growth factor receptor substrate 15 homolog OS=Dictyostelium discoideum GN=eps15 PE=1 SV=1,3.10E-25,GO:0008150;GO:0005509;GO:0015031;GO:0005886;GO:0005515;GO:0030132;GO:0030122;GO:0006810;GO:0016020,K12472,PF12763,72.48154322,-0.31690971,0.099157224,-3.196032501,0.001393314,0.005174245,TRUE
SymbC1.scaffold238.11,sp|Q1JP63|SVOP_BOVIN,Synaptic vesicle 2-related protein OS=Bos taurus GN=SVOP PE=2 SV=1,1.14E-54,GO:0030054;GO:0022891;GO:0055085;GO:0045202;GO:0022857;GO:0016020;GO:0006810;GO:0016021;GO:0031410;GO:0030672,NA,PF00083,53.11852293,0.5213912,0.105580226,4.9383414,0.000000788,0.00000638,TRUE
SymbC1.scaffold238.2,tr|A0A1Q9C4T3|A0A1Q9C4T3_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene41983 PE=4 SV=1,2.61E-65,NA,NA,NA,32.0619048,0.91149088,0.139376015,6.539797239,6.16E-11,9.89E-10,TRUE
SymbC1.scaffold238.5,sp|E2JA28|DDAC_ENTAG,Dapdiamide synthesis protein DdaC OS=Enterobacter agglomerans GN=ddaC PE=4 SV=1,1.28E-06,GO:0017000;GO:0016491;GO:0055114,NA,PF02668,152.4332848,0.254341295,0.072558341,3.505335029,0.000456,0.001953147,TRUE
SymbC1.scaffold238.8,sp|O67638|Y1758_AQUAE,Uncharacterized RNA pseudouridine synthase aq_1758 OS=Aquifex aeolicus (strain VF5) GN=aq_1758 PE=3 SV=1,1.24E-26,GO:0001522;GO:0003723;GO:0016853;GO:0009451;GO:0000455;GO:0005829;GO:0009982,K06180,PF00644;PF02668;PF13578;PF00849,118.9341652,0.231131489,0.072084519,3.206395684,0.00134409,0.005008191,TRUE
SymbC1.scaffold2381.2,tr|A0A1Q9CBF6|A0A1Q9CBF6_SYMMI,Apurinic endonuclease-redox protein OS=Symbiodinium microadriaticum GN=ARP PE=4 SV=1,3.69E-151,GO:0016773;GO:0004519;GO:0004518;GO:0005622;GO:0008152;GO:0003677;GO:0006281;GO:0016787;GO:0090305,NA,NA,31.62335129,0.646280013,0.133590328,4.837775472,0.00000131,0.0000101,TRUE
SymbC1.scaffold2381.8,tr|A0A0S2S8H7|A0A0S2S8H7_9BACL,Uncharacterized protein OS=Paenibacillus sp. IHB B 3084 GN=ASL14_19245 PE=4 SV=1,2.96E-17,NA,NA,PF04266,11.75320819,7.377749913,0.636342547,11.59399123,4.42E-31,5.67E-29,TRUE
SymbC1.scaffold2381.9,sp|P45951|ARP_ARATH,"DNA-(apurinic or apyrimidinic site) lyase, chloroplastic OS=Arabidopsis thaliana GN=ARP PE=1 SV=2",2.12E-54,GO:0016791;GO:0004528;GO:0016829;GO:0009536;GO:0016311;GO:0008408;GO:0005634;GO:0004518;GO:0003677;GO:0006974;GO:0004519;GO:0042644;GO:0009507;GO:0003906;GO:0006284;GO:0046872;GO:0008311;GO:0045893;GO:0005622;GO:0033683;GO:0006281,K01142,PF03372,56.97241327,0.333137142,0.099557377,3.346182395,0.000819,0.003251791,TRUE
SymbC1.scaffold2383.2,sp|Q9NZJ4|SACS_HUMAN,Sacsin OS=Homo sapiens GN=SACS PE=1 SV=2,7.41E-52,GO:0030424;GO:0090084;GO:0030544;GO:0051087;GO:0030425;GO:0005634;GO:0070628;GO:0005737;GO:0006457;GO:0070852;GO:0005739,K17592,PF00939,71.28367595,0.530097472,0.14925264,3.551679037,0.000383,0.001671955,TRUE
SymbC1.scaffold2383.3,sp|Q9FMF7|DIT21_ARATH,"Dicarboxylate transporter 2.1, chloroplastic OS=Arabidopsis thaliana GN=DIT2-1 PE=1 SV=1",1.46E-33,GO:0015140;GO:0016021;GO:0005313;GO:0089711;GO:0005215;GO:0009941;GO:0016020;GO:0015131;GO:0006810;GO:0009507;GO:0009706;GO:1902356;GO:0015813;GO:0071423;GO:0019676;GO:0009536;GO:0009534;GO:0055085;GO:0006814;GO:0009528;GO:0009624;GO:0015729,NA,PF00939,46.44098827,0.310984636,0.108147306,2.875565251,0.004033048,0.013012577,TRUE
SymbC1.scaffold2383.4,sp|Q922R0|PRKX_MOUSE,cAMP-dependent protein kinase catalytic subunit PRKX OS=Mus musculus GN=Prkx PE=1 SV=1,7.29E-25,GO:0004674;GO:0005737;GO:0016301;GO:0031589;GO:0060562;GO:0030099;GO:0001935;GO:0060993;GO:0004672;GO:0006468;GO:0016310;GO:2000696;GO:0005634;GO:0030154;GO:0043542;GO:0004691;GO:0046777;GO:0018105;GO:0030334;GO:0005524;GO:0030155;GO:0001525;GO:0007275;GO:0016740;GO:0000166;GO:0007155,K19584,PF00027;PF00069,11.3136347,0.997608933,0.229472763,4.34739583,0.0000138,0.0000855,TRUE
SymbC1.scaffold2384.11,tr|A0A1Q9DLQ3|A0A1Q9DLQ3_SYMMI,Group XIIA secretory phospholipase A2 OS=Symbiodinium microadriaticum GN=Pla2g12a PE=4 SV=1,1.29E-29,GO:0016042;GO:0005576;GO:0005509;GO:0050482;GO:0006644;GO:0004623,NA,NA,2.521131358,2.75559855,0.54691112,5.038475998,0.000000469,0.00000395,TRUE
SymbC1.scaffold2385.2,tr|A0A1Q9F7U4|A0A1Q9F7U4_SYMMI,Ankyrin repeat domain-containing protein 50 OS=Symbiodinium microadriaticum GN=ANKRD50 PE=4 SV=1,2.33E-21,GO:0016021;GO:0016020,NA,NA,5.873561209,1.339267379,0.336797168,3.97648053,0.0000699,0.000369,TRUE
SymbC1.scaffold2386.1,tr|U4KTC2|U4KTC2_9MOLU;tr|A0A0C1JXN6|A0A0C1JXN6_9BACT,description1:Uncharacterized protein OS=Acholeplasma brassicae GN=BN85314130 PE=4 SV=1//description2:Uncharacterized protein OS=Neochlamydia sp. EPS4 GN=DB42_AN00310 PE=4 SV=1,2.03E-63,GO:0016021;GO:0016020,NA,PF13475,7.617457807,2.325805513,0.340009277,6.840417804,7.9E-12,1.44E-10,TRUE
SymbC1.scaffold23876.1,sp|Q41406|RBL2_SYMSP,Ribulose bisphosphate carboxylase (Fragment) OS=Symbiodinium sp. GN=rbcL PE=1 SV=1,8.02E-109,GO:0004497;GO:0009507;GO:0055114;GO:0019253;GO:0009536;GO:0016829;GO:0016984;GO:0046872;GO:0015979;GO:0015977;GO:0000287;GO:0016491,NA,PF02788,72.28739157,0.332510703,0.141122188,2.356190109,0.018463466,0.047537159,TRUE
SymbC1.scaffold239.3,tr|A0A1Q9DSU9|A0A1Q9DSU9_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene19308 PE=4 SV=1,1.97E-26,GO:0016020;GO:0016021,NA,NA,8.899597434,-0.927805555,0.241215439,-3.846377163,0.00012,0.000595,TRUE
SymbC1.scaffold2390.3,sp|Q9I4E1|NPD2_PSEAE,NAD-dependent protein deacylase 2 OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=cobB2 PE=3 SV=1,0.000000219,GO:0005737;GO:0070403;GO:0016787;GO:0046872,K12410,PF02146,4.132391293,0.903788648,0.371278462,2.434260914,0.014922234,0.039848993,TRUE
SymbC1.scaffold2391.11,tr|A0A1Q9EW82|A0A1Q9EW82_SYMMI;tr|A0A1Q9D208|A0A1Q9D208_SYMMI,description1:Ankyrin-2 OS=Symbiodinium microadriaticum GN=ANK2 PE=4 SV=1//description2:Homeobox protein Wariai OS=Symbiodinium microadriaticum GN=warA PE=4 SV=1,4.29E-84,GO:0003677,NA,NA,30.69019487,-0.368043181,0.140982842,-2.610553006,0.009039596,0.026044346,TRUE
SymbC1.scaffold2391.13,tr|A0A1Q9CYX7|A0A1Q9CYX7_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene30522 PE=4 SV=1,2.63E-112,NA,NA,PF13418,48.61231796,-0.43656787,0.118387103,-3.68763032,0.000226,0.001051697,TRUE
SymbC1.scaffold2391.15,tr|A0A1Q9CZ01|A0A1Q9CZ01_SYMMI;tr|A0A1Q9EBC3|A0A1Q9EBC3_SYMMI,description1:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene30526 PE=4 SV=1//description2:Kinase D-interacting substrate of 220 kDa OS=Symbiodinium microadriaticum GN=kidins220 PE=4 SV=1,3.03E-14,GO:0016310;GO:0016301,NA,NA,29.54707756,0.609340009,0.161437784,3.774457213,0.00016,0.000774,TRUE
SymbC1.scaffold2391.18,sp|P95867|TREZ_SULSO,Malto-oligosyltrehalose trehalohydrolase OS=Sulfolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) GN=treZ PE=1 SV=1,5.87E-51,GO:0016787;GO:0005975;GO:0033942;GO:0016798;GO:0008152;GO:0003824;GO:0004553;GO:0005737;GO:0005992,K01236,PF02806;PF12157;PF00128;PF02922,51.71967568,0.468713989,0.115035285,4.074523636,0.0000461,0.000254,TRUE
SymbC1.scaffold2391.2,tr|A0A1Q9E6U0|A0A1Q9E6U0_SYMMI,Kinesin light chain OS=Symbiodinium microadriaticum GN=AK812_SmicGene13956 PE=4 SV=1,0,GO:0016021;GO:0046872;GO:0016020;GO:0008270;GO:0044237;GO:0003824,NA,NA,109.1493331,-0.303275999,0.076971878,-3.940088342,0.0000815,0.000423,TRUE
SymbC1.scaffold2391.9,tr|A0A1Q9E477|A0A1Q9E477_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene14960 PE=4 SV=1,1.03E-30,GO:0016020;GO:0016021,NA,NA,24.67582935,-0.366525823,0.150516267,-2.435124321,0.014886674,0.039767499,TRUE
SymbC1.scaffold2395.1,sp|P01041|CYTB_RAT,Cystatin-B OS=Rattus norvegicus GN=Cstb PE=1 SV=1,4.77E-21,GO:0005515;GO:0005730;GO:0010466;GO:0002020;GO:0004869;GO:0004866;GO:0070062;GO:0005829;GO:0005615;GO:0008344;GO:0030414;GO:0010951;GO:0005737;GO:0045861;GO:0003723;GO:0005622,K13907,PF00031,19.70995508,-0.713535896,0.184429483,-3.868881938,0.000109,0.000548,TRUE
SymbC1.scaffold2397.2,tr|A0A1Q9C975|A0A1Q9C975_SYMMI;tr|A0A1Q9CLK5|A0A1Q9CLK5_SYMMI,description1:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene40221 PE=4 SV=1//description2:Protein-S-isoprenylcysteine O-methyltransferase OS=Symbiodinium microadriaticum GN=icmt-1 PE=3 SV=1,4.74E-54,GO:0006481;GO:0005789;GO:0005783;GO:0016740;GO:0016020;GO:0032259;GO:0016021;GO:0008168;GO:0004671,NA,NA,2.661572796,3.911684091,1.391093299,2.811949488,0.004924224,0.01542183,TRUE
SymbC1.scaffold2399.3,tr|A0A1Q9CW67|A0A1Q9CW67_SYMMI;tr|A0A1A7X6R8|A0A1A7X6R8_9TELE,description1:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene31673 PE=4 SV=1//description2:Sodium channel protein OS=Aphyosemion striatum GN=SCN1LAB PE=3 SV=1,0.00000133,GO:0006810;GO:0034765;GO:0006811;GO:0016021;GO:0005886;GO:0016020;GO:0060078;GO:0006814;GO:0035725;GO:0005216;GO:0005248;GO:0001518;GO:0055085;GO:0034220;GO:0005272;GO:0005244,NA,NA,52.95058038,-0.524923834,0.128931794,-4.071329627,0.0000467,0.000257,TRUE
SymbC1.scaffold240.1,tr|A0A1Q9CPS7|A0A1Q9CPS7_SYMMI;tr|A0A1Q9C0F3|A0A1Q9C0F3_SYMMI,description1:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene34157 PE=4 SV=1//description2:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene43666 PE=4 SV=1,0.00000087,GO:0005509,NA,NA,67.77409358,-0.330091221,0.096935221,-3.405276401,0.000661,0.00269624,TRUE
SymbC1.scaffold240.11,sp|Q8ZH36|DKGB_YERPE,"2,5-diketo-D-gluconic acid reductase B OS=Yersinia pestis GN=dkgB PE=3 SV=1",3.32E-24,GO:0016491;GO:0019853;GO:0005737;GO:0055114,K06222,PF00248;PF11968,207.1465038,0.490736216,0.080204442,6.118566569,9.44E-10,1.27E-08,TRUE
SymbC1.scaffold240.14,tr|A0A1Q9EA64|A0A1Q9EA64_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene12628 PE=4 SV=1,0.00E+00,GO:0016020;GO:0005216;GO:0016021;GO:0034220;GO:0006811,NA,NA,78.45632828,0.751720133,0.13929917,5.396443734,0.000000068,0.000000672,TRUE
SymbC1.scaffold240.17,sp|Q9EPH0|S26A5_RAT,Prestin OS=Rattus norvegicus GN=Slc26a5 PE=1 SV=1,1.29E-10,GO:0034220;GO:0008271;GO:2000147;GO:0003774;GO:0015755;GO:0015116;GO:0019532;GO:0005887;GO:0051262;GO:1902476;GO:0010996;GO:0005737;GO:0042391;GO:0042803;GO:0016021;GO:0016020;GO:0090102;GO:0035864;GO:0009751;GO:0005254;GO:0019531;GO:0008134;GO:0007605;GO:0005886;GO:0098656;GO:0002931;GO:0015701;GO:0015106;GO:1902074;GO:0097066;GO:0045793;GO:0042493;GO:0034766;GO:0051453;GO:1902358;GO:0055085;GO:0015301;GO:0008272;GO:0016323;GO:0008360;GO:0030507;GO:0016328,K14703,PF00916,3.547778333,1.796647662,0.385566133,4.659765238,0.00000317,0.0000225,TRUE
SymbC1.scaffold240.3,tr|A0A1Q9CPR1|A0A1Q9CPR1_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene34155 PE=4 SV=1,2.36E-27,NA,NA,NA,3.2441039,1.871662604,0.418568539,4.47157975,0.00000776,0.0000511,TRUE
SymbC1.scaffold240.6,sp|O77458|TPIS_DROYA,Triosephosphate isomerase OS=Drosophila yakuba GN=Tpi PE=2 SV=1,6.21E-24,GO:0019682;GO:0008152;GO:0016853;GO:0005575;GO:0004807;GO:0006098;GO:0003824;GO:0006094;GO:0006096,NA,PF00121;PF13646;PF10236,156.9287441,0.59791955,0.108152885,5.528466015,3.23E-08,0.000000337,TRUE
SymbC1.scaffold2400.1,sp|Q9GMY8|PEPA_SORUN,Pepsin A OS=Sorex unguiculatus GN=PGA PE=2 SV=1,2.37E-46,GO:0004190;GO:0007586;GO:0005576;GO:0008233;GO:0016787;GO:0006508,NA,PF00026,25.48182959,-0.350315223,0.142864454,-2.452081074,0.014203266,0.038220966,TRUE
SymbC1.scaffold2400.4,sp|Q01815|CAC1C_MOUSE,Voltage-dependent L-type calcium channel subunit alpha-1C OS=Mus musculus GN=Cacna1c PE=1 SV=1,2.30E-13,GO:0006810;GO:0016020;GO:0006811;GO:0043010;GO:0086091;GO:0019899;GO:0016021;GO:0005737;GO:0007507;GO:0006816;GO:0070588;GO:0019229;GO:0035115;GO:0006939;GO:0005515;GO:0061577;GO:0014069;GO:1905030;GO:0086045;GO:1990454;GO:0007268;GO:0034765;GO:0030315;GO:0030018;GO:0005891;GO:0008217;GO:0007628;GO:0086012;GO:0086010;GO:0045211;GO:0098911;GO:0002095;GO:0098912;GO:0086007;GO:0005216;GO:0046872;GO:0007204;GO:0002520;GO:0006874;GO:0042593;GO:0005262;GO:0030252;GO:0043025;GO:0046620;GO:0017156;GO:0055085;GO:0061337;GO:0030073;GO:0005244;GO:0043198;GO:0060078;GO:0008331;GO:0008542;GO:0051393;GO:0086056;GO:0005886;GO:0005245;GO:0086002;GO:0060083,K04850,PF00520,14.13482729,3.184545871,0.268605987,11.8558261,2.01E-32,2.87E-30,TRUE
SymbC1.scaffold2401.1,tr|A0A1Q9DL27|A0A1Q9DL27_SYMMI,LINE-1 reverse transcriptase-like OS=Symbiodinium microadriaticum GN=AK812_SmicGene21937 PE=4 SV=1,7.50E-09,GO:0003964;GO:0006278;GO:0003676,NA,NA,6.169517748,-0.990220156,0.270477343,-3.66100963,0.000251,0.001154153,TRUE
SymbC1.scaffold2401.2,tr|A0A1Q9C463|A0A1Q9C463_SYMMI,LINE-1 retrotransposable element ORF2 protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene42205 PE=4 SV=1,0,GO:0004523;GO:0090502;GO:0003676,NA,PF00075;PF00078,3.013155582,-0.943863366,0.370764482,-2.54572218,0.010905194,0.030570449,TRUE
SymbC1.scaffold24010.1,tr|A0A1Q9EB78|A0A1Q9EB78_SYMMI;tr|A0A1Q9EV30|A0A1Q9EV30_SYMMI,description1:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene12224 PE=4 SV=1//description2:Beta-glucosidase 42 OS=Symbiodinium microadriaticum GN=BGLU42 PE=4 SV=1,3.70E-50,GO:0016021;GO:0005975;GO:0003677;GO:0016020;GO:0004553,NA,NA,4.102706354,-3.275738164,0.601578109,-5.44524163,5.17E-08,0.00000052,TRUE
SymbC1.scaffold2404.1,tr|A0A1Q9EEC9|A0A1Q9EEC9_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene10984 PE=4 SV=1,2.16E-26,NA,NA,NA,6.079182909,-3.56560344,0.645862041,-5.52068896,3.38E-08,0.000000351,TRUE
SymbC1.scaffold2404.2,sp|P25782|CYSP2_HOMAM,Digestive cysteine proteinase 2 OS=Homarus americanus GN=LCP2 PE=2 SV=1,3.27E-23,GO:0016787;GO:0006508;GO:0008234;GO:0008233,NA,PF00112,78.40646702,-0.939334955,0.143372693,-6.55170059,5.69E-11,9.2E-10,TRUE
SymbC1.scaffold2404.3,tr|A0A1Q9C5V2|A0A1Q9C5V2_SYMMI;tr|A0A1Q9CJF7|A0A1Q9CJF7_SYMMI,description1:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene41536 PE=4 SV=1//description2:Sodium/bile acid cotransporter 7 OS=Symbiodinium microadriaticum GN=slc10a7 PE=4 SV=1,1.84E-35,GO:0016021;GO:0016020,NA,NA,70.24264006,-0.76182996,0.109178922,-6.977811686,3E-12,5.79E-11,TRUE
SymbC1.scaffold2406.2,tr|A0A1Q9EBA3|A0A1Q9EBA3_SYMMI;tr|A0A1Q9CVQ5|A0A1Q9CVQ5_SYMMI,description1:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene12205 PE=4 SV=1//description2:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene31832 PE=4 SV=1,1.71E-52,GO:0016020;GO:0016021,NA,NA,22.47983859,0.687606125,0.189407144,3.630307231,0.000283,0.00127961,TRUE
SymbC1.scaffold2408.1,sp|P0A357|CSPB_LISMO,Cold shock-like protein CspLB OS=Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e) GN=cspLB PE=3 SV=1,5.79E-08,GO:0006351;GO:0006355;GO:0003676;GO:0005737;GO:0003677,K03704,PF00313,84.01338359,0.576554987,0.104526371,5.515880637,3.47E-08,0.000000359,TRUE
SymbC1.scaffold2411.1,sp|Q94KI8|TPC1_ARATH,Two pore calcium channel protein 1 OS=Arabidopsis thaliana GN=TPC1 PE=1 SV=1,3.98E-40,GO:0005773;GO:0005216;GO:0006810;GO:0016020;GO:0006811;GO:0010119;GO:0019722;GO:0006816;GO:0070588;GO:0005262;GO:0080141;GO:0000325;GO:0016021;GO:0005244;GO:0005774;GO:0055085;GO:0009845;GO:0086010;GO:0005794;GO:0005245;GO:0005886;GO:0005509;GO:0034765,K16900,PF00520,33.52469988,-0.594623842,0.130335115,-4.562268887,0.00000506,0.0000347,TRUE
SymbC1.scaffold2413.1,tr|A0A1Q9D3W9|A0A1Q9D3W9_SYMMI,Putative E3 ubiquitin-protein ligase HERC4 OS=Symbiodinium microadriaticum GN=HERC4 PE=4 SV=1,0,GO:0016874,NA,NA,475.8924279,-0.214554076,0.073671952,-2.912289808,0.003587896,0.011752601,TRUE
SymbC1.scaffold2414.1,sp|Q9SRK7|AZG1_ARATH,Adenine/guanine permease AZG1 OS=Arabidopsis thaliana GN=AZG1 PE=2 SV=1,5.49E-77,GO:0055085;GO:1904823;GO:0016020;GO:0006810;GO:0016021;GO:0006863;GO:0015853;GO:0015854;GO:0005215;GO:0005345,K06901,PF00860,35.63813969,0.472551446,0.147959248,3.193794602,0.00140416,0.005206237,TRUE
SymbC1.scaffold2414.3,sp|P84193|AUD_PHACH,Aldos-2-ulose dehydratase OS=Phanerochaete chrysosporium PE=1 SV=3,0.000000277,GO:0016829;GO:0008152;GO:0016853;GO:0033991;GO:0016836;GO:0003824;GO:0046872,NA,NA,97.05647917,-0.258688487,0.083483926,-3.098662214,0.001943965,0.006911119,TRUE
SymbC1.scaffold2414.4,sp|Q84C00|GUB_CLOTM,Beta-glucanase OS=Clostridium thermocellum GN=licB PE=1 SV=1,1.24E-17,GO:0000272;GO:0016798;GO:0042972;GO:0008152;GO:0004553;GO:0005975;GO:0016787,NA,PF00722,247.6305534,-0.6082545,0.10593381,-5.741835372,9.37E-09,0.000000107,TRUE
SymbC1.scaffold2415.2,sp|Q84ME1|LUL3_ARATH,Probable E3 ubiquitin-protein ligase LUL3 OS=Arabidopsis thaliana GN=LUL3 PE=1 SV=1,1.47E-09,GO:0004842;GO:0016740;GO:0046872;GO:0016567,NA,PF13920,26.01534689,0.872387892,0.137563364,6.341716761,2.27E-10,3.34E-09,TRUE
SymbC1.scaffold2415.6,sp|Q9Z2Z6|MCAT_MOUSE,Mitochondrial carnitine/acylcarnitine carrier protein OS=Mus musculus GN=Slc25a20 PE=1 SV=1,1.96E-16,GO:0015227;GO:0016020;GO:0005739;GO:0006810;GO:0015226;GO:0015879;GO:0055085;GO:0005743;GO:1902603;GO:0006839;GO:1902616;GO:0005476;GO:0016021;GO:0005829,K15109,PF00153,37.12836301,-0.341594613,0.140840155,-2.425406399,0.015291258,0.040676142,TRUE
SymbC1.scaffold2415.8,sp|P0AC59|GLRX2_ECOLI,Glutaredoxin 2 OS=Escherichia coli (strain K12) GN=grxB PE=1 SV=1,0.000000184,GO:0045454;GO:0009055;GO:0097573;GO:0055114;GO:0005829;GO:0015038,K03675,PF04399,23.74510965,0.544068304,0.185963894,2.925666333,0.003437194,0.01133215,TRUE
