Gene_model,UniProt identifier (top hit and/or top hit with annotated GO),Description(s) of hit(s),E-value,Gene Ontology (GO) term,KEGG Orthology (KO) term,Pfam identifier,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig,Hw1-1a,Hw1-1b,Hw1-1c,Hw1-4a,Hw1-4b,Hw1-4c,Hw1-5a,Hw1-5b,Hw1-5c,Hw1-6a,Hw1-6b,Hw1-6c,Hw2-1a,Hw2-1b,Hw2-1c,Hw2-4a,Hw2-4b,Hw2-4c,Hw2-5a,Hw2-5b,Hw2-5c,Hw2-6b,Hw2-6c,Wt1-1a,Wt1-1b,Wt1-1c,Wt1-4a,Wt1-4b,Wt1-4c,Wt1-5a,Wt1-5b,Wt1-5c,Wt1-6a,Wt1-6b,Wt1-6c,Wt2-1a,Wt2-1b,Wt2-1c,Wt2-4a,Wt2-4b,Wt2-4c,Wt2-5a,Wt2-5b,Wt2-5c,Wt2-6a,Wt2-6b,Wt2-6c
SymbC1.scaffold12496.1,tr|A0A1Q9DR34|A0A1Q9DR34_SYMMI,Polyphosphatidylinositol phosphatase INP53 OS=Symbiodinium microadriaticum GN=INP53 PE=4 SV=1,0.00E+00,GO:0046856;GO:0016787,NA,PF00149,136.4081325,0.567574951,0.074200051,7.649252871,2.02E-14,5.25E-13,TRUE,65,76,96,123,104,59,208,122,208,207,257,232,148,92,78,186,141,118,296,283,126,263,245,74,157,80,122,95,317,87,176,250,159,181,140,167,52,68,127,114,295,75,110,70,171,319,98
SymbC1.scaffold125.12,sp|E9QAU8|RN165_MOUSE,E3 ubiquitin-protein ligase RNF165 OS=Mus musculus GN=Rnf165 PE=1 SV=1,5.73E-11,GO:0035136;GO:0007409;GO:0030163;GO:0005515;GO:0016740;GO:0043161;GO:0008045;GO:0000209;GO:0005634;GO:0008270;GO:0042787;GO:0010259;GO:0043234;GO:0060384;GO:0061061;GO:0005737;GO:0030513;GO:0061630;GO:0046872;GO:0060173,K17821,PF13639,27.5964071,0.54172968,0.155856467,3.475824193,0.000509,0.002148487,TRUE,19,12,24,28,27,23,36,30,60,57,49,50,15,7,4,11,8,10,25,24,22,26,35,13,32,20,31,34,74,34,27,47,40,26,48,28,11,12,33,34,90,13,24,12,40,104,19
SymbC1.scaffold125.15,tr|A0A1Q9DGL5|A0A1Q9DGL5_SYMMI,LINE-1 retrotransposable element ORF2 protein OS=Symbiodinium microadriaticum GN=Pol PE=4 SV=1,3.18E-12,NA,NA,NA,4.618734018,-2.486244073,0.385620066,-6.447392886,1.14E-10,1.75E-09,TRUE,5,10,6,15,9,15,15,4,13,15,30,31,6,0,0,5,8,4,3,9,4,4,9,1,4,0,3,5,6,4,3,0,2,5,3,1,2,0,2,0,3,1,1,0,4,6,1
SymbC1.scaffold125.17,tr|A0A1Q9EX43|A0A1Q9EX43_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene4158 PE=4 SV=1,1.22E-137,GO:0016020;GO:0016021,NA,NA,3.30110038,0.920434906,0.388435728,2.369593837,0.017807636,0.046118376,TRUE,2,5,2,4,0,1,3,0,1,6,6,8,1,1,1,6,3,3,3,10,1,3,4,4,4,2,5,3,6,3,4,4,3,4,3,3,1,2,9,2,8,2,0,0,7,7,7
SymbC1.scaffold12501.2,tr|A0A1Q9DAV1|A0A1Q9DAV1_SYMMI,E3 ubiquitin-protein ligase UPL3 OS=Symbiodinium microadriaticum GN=UPL3 PE=4 SV=1,3.92E-96,GO:0046872;GO:0006811;GO:0034220;GO:0016021;GO:0005509;GO:0016874;GO:0055085;GO:0005216;GO:0016020,NA,NA,94.6520446,-1.027187666,0.128256363,-8.008863225,1.16E-15,3.53E-14,TRUE,138,118,108,131,97,87,184,157,269,281,240,242,162,94,79,197,109,96,258,231,144,221,253,29,56,29,42,37,100,43,131,95,42,135,52,146,17,26,41,49,112,31,42,22,52,103,34
SymbC1.scaffold1251.1,sp|Q5HZE0|MCATL_RAT,Mitochondrial basic amino acids transporter OS=Rattus norvegicus GN=Slc25a29 PE=2 SV=1,9.92E-25,GO:0005292;GO:0006839;GO:0015174;GO:0005739;GO:0006810;GO:0016020;GO:1990822;GO:1903826;GO:0016021;GO:1903400;GO:0089709;GO:0006865;GO:0055085;GO:0005743;GO:0015227;GO:0015171;GO:1903401;GO:0005289;GO:0006844;GO:0015822;GO:1990575;GO:1902616,K15109,PF00153;PF00069,45.8318698,-0.4727833,0.143085237,-3.304207399,0.000952,0.00370083,TRUE,43,35,38,57,49,46,81,60,128,72,115,108,57,28,22,77,54,35,91,118,31,91,118,27,39,20,42,43,95,17,65,70,81,75,56,32,10,6,29,20,64,23,34,6,64,105,22
SymbC1.scaffold1251.2,sp|Q9LVM1|AB25B_ARATH,"ABC transporter B family member 25, mitochondrial OS=Arabidopsis thaliana GN=ABCB25 PE=1 SV=1",6.14E-87,GO:0000166;GO:0005743;GO:0055085;GO:0050790;GO:0006777;GO:0009555;GO:0010288;GO:0005524;GO:0051276;GO:0010380;GO:0055072;GO:0006879;GO:0009507;GO:0006811;GO:0046686;GO:0016020;GO:0009658;GO:0006810;GO:0005739;GO:0005215;GO:0042626;GO:0009941;GO:0016021;GO:0016887;GO:0048364,K05663,PF00664;PF00005,7.94498634,0.594569632,0.238411369,2.493881201,0.012635483,0.034614347,TRUE,5,3,6,8,13,9,5,4,12,9,21,22,6,2,1,13,9,4,7,8,2,11,15,8,10,3,11,4,23,8,8,3,8,17,8,6,2,2,10,10,22,3,3,2,14,39,17
SymbC1.scaffold12518.1,sp|Q9FJ54|CIPKK_ARATH,CBL-interacting serine/threonine-protein kinase 20 OS=Arabidopsis thaliana GN=CIPK20 PE=1 SV=1,6.95E-21,GO:0005622;GO:0016310;GO:0004674;GO:0009737;GO:0016301;GO:0005524;GO:0007165;GO:0018105;GO:0018107;GO:0004672;GO:0016740;GO:0000166;GO:0035556;GO:0006468,NA,PF00069,22.49255719,0.4782937,0.160483053,2.980337748,0.002879307,0.009712458,TRUE,13,9,16,22,14,19,18,39,52,31,46,41,36,12,1,39,19,25,53,44,21,26,50,9,19,7,23,16,56,17,30,33,18,32,30,33,10,13,21,28,65,12,16,9,31,39,13
SymbC1.scaffold1253.4,tr|A0A1Q9C6N7|A0A1Q9C6N7_SYMMI,5'-AMP-activated protein kinase catalytic subunit alpha-1 OS=Symbiodinium microadriaticum GN=PRKAA1 PE=4 SV=1,2.26E-26,GO:0016021;GO:0051087;GO:0005524;GO:0004672;GO:0006468;GO:0016020;GO:0016301;GO:0032781;GO:0016310;GO:0001671,NA,NA,90.16517904,-0.427771793,0.104263285,-4.102803718,0.0000408,0.000228,TRUE,83,83,99,129,101,66,133,104,202,201,230,242,134,55,57,170,103,100,147,252,82,187,255,29,81,32,52,75,141,55,108,122,116,157,73,97,17,21,63,44,122,47,41,54,83,177,51
SymbC1.scaffold1253.5,tr|A0A1Q9ERU1|A0A1Q9ERU1_SYMMI;tr|A0A1Q9DEQ8|A0A1Q9DEQ8_SYMMI,"description1:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene6246 PE=4 SV=1//description2:Receptor-likey region, transmembrane domain-and RING domain-containing protein 6 OS=Symbiodinium microadriaticum GN=RMR6 PE=4 SV=1",5.39E-13,GO:0016021,NA,NA,4.410657925,-0.810763287,0.331046523,-2.449091684,0.014321699,0.038478741,TRUE,7,4,5,5,5,7,8,5,18,6,13,7,6,7,1,10,4,3,9,11,9,11,11,3,3,2,3,3,10,3,1,3,2,7,3,5,0,0,2,4,9,0,0,4,5,5,1
SymbC1.scaffold1253.6,tr|A0A1Q9DEQ8|A0A1Q9DEQ8_SYMMI,"Receptor-likey region, transmembrane domain-and RING domain-containing protein 6 OS=Symbiodinium microadriaticum GN=RMR6 PE=4 SV=1",4.16E-20,GO:0016021,NA,PF13857,8.087677677,-1.203218382,0.269560165,-4.463635716,0.00000806,0.0000527,TRUE,5,4,7,21,14,11,18,11,28,41,32,30,5,9,1,11,11,7,21,21,17,18,15,4,2,2,3,6,9,6,8,11,7,4,4,14,1,1,4,4,7,1,6,6,2,10,3
SymbC1.scaffold1256.3,sp|Q3UES3|TNKS2_MOUSE,Tankyrase-2 OS=Mus musculus GN=Tnks2 PE=2 SV=2,7.26E-10,GO:1904355;GO:0016055;GO:0019899;GO:0046872;GO:1904357;GO:0090263;GO:0005635;GO:0005737;GO:0006471;GO:0000242;GO:0003950;GO:0005694;GO:0040014;GO:0016020;GO:0070198;GO:0000723;GO:0000139;GO:0005794;GO:0000209;GO:0070213;GO:0005634;GO:0016740;GO:0000781;GO:0048471;GO:0035264;GO:0016757,K10799,PF00644,1.903475562,1.796870747,0.511378714,3.513776967,0.000442,0.001900492,TRUE,0,2,0,0,1,0,3,1,2,0,6,1,2,0,1,1,3,1,3,3,3,2,2,1,1,2,0,0,5,1,3,2,0,2,1,8,2,3,3,5,10,0,1,0,1,2,3
SymbC1.scaffold12570.2,tr|A0A1Q9F710|A0A1Q9F710_SYMMI,Regulator of nonsense transcripts 1-like OS=Symbiodinium microadriaticum GN=2E4.130 PE=4 SV=1,8.47E-88,NA,NA,NA,1.738900099,3.258961943,0.682521363,4.774886353,0.0000018,0.0000134,TRUE,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,2,1,1,0,2,7,3,3,3,12,0,1,0,1,2,0,5,0,2,2,4,8,1,1,3,4,6,1
SymbC1.scaffold12575.1,sp|Q39027|MPK7_ARATH,Mitogen-activated protein kinase 7 OS=Arabidopsis thaliana GN=MPK7 PE=1 SV=2,2.74E-20,GO:0005515;GO:0010468;GO:0000165;GO:0000166;GO:0016740;GO:0005634;GO:0016310;GO:0005524;GO:0004672;GO:0042542;GO:0006468;GO:0006952;GO:0016301;GO:0004674;GO:0004707;GO:0005737,K20537,PF00069,13.83770598,0.837135115,0.18943698,4.419069163,0.00000991,0.0000635,TRUE,6,5,16,17,11,6,10,15,19,21,23,19,18,10,11,16,13,12,21,12,7,13,24,1,20,5,11,17,40,9,18,16,20,16,19,19,5,7,14,15,33,10,15,4,18,53,13
SymbC1.scaffold1258.1,sp|Q9LPX2|PPR39_ARATH,"Pentatricopeptide repeat-containing protein At1g12775, mitochondrial OS=Arabidopsis thaliana GN=At1g12775 PE=2 SV=1",1.32E-13,GO:0003723;GO:0005739;GO:0080156;GO:0006397;GO:0090305;GO:0004519,NA,PF13812,37.65068642,-0.405310442,0.130085429,-3.115725135,0.001834932,0.006578628,TRUE,35,45,56,43,24,25,82,46,79,77,87,85,58,23,23,102,68,39,104,103,54,92,89,19,26,13,22,20,63,15,29,36,27,69,30,54,4,12,29,25,58,11,22,14,34,60,21
SymbC1.scaffold1258.2,tr|A0A1Q9DR08|A0A1Q9DR08_SYMMI,GTPase Der OS=Symbiodinium microadriaticum GN=der PE=4 SV=1,7.4E-33,NA,NA,NA,84.40446836,0.20777285,0.08351063,2.48798088,0.012847064,0.035107082,TRUE,60,70,90,111,71,41,109,84,152,141,179,150,105,63,31,140,81,67,157,160,90,155,160,43,97,34,68,77,235,55,82,140,91,117,102,95,18,46,74,77,189,44,55,41,74,192,65
SymbC1.scaffold1258.8,tr|A0A1Q9EQD9|A0A1Q9EQD9_SYMMI,Tonsoku-like protein OS=Symbiodinium microadriaticum GN=TONSL PE=4 SV=1,8.34E-113,GO:0005509,NA,NA,11.45725127,2.079436494,0.257123636,8.087302,6.1E-16,1.91E-14,TRUE,1,3,2,5,14,3,4,7,13,10,8,7,2,2,0,7,7,6,12,9,9,9,11,10,10,9,15,8,46,13,10,22,16,4,20,10,9,8,19,18,43,8,16,7,18,39,17
SymbC1.scaffold12587.1,sp|Q40300|FCPF_MACPY,"Fucoxanthin-chlorophyll a-c binding protein F, chloroplastic (Fragment) OS=Macrocystis pyrifera GN=FCPF PE=2 SV=1",2.67E-39,GO:0009535;GO:0009536;GO:0016020;GO:0009765;GO:0009507;GO:0030076;GO:0016168;GO:0018298;GO:0009523;GO:0015979;GO:0009579;GO:0016021,NA,PF00504,20.04139522,7.441413663,0.641670568,11.59693779,4.27E-31,5.5E-29,TRUE,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,20,41,21,44,28,105,25,33,48,72,9,51,8,9,19,22,32,94,21,12,19,48,93,24
SymbC1.scaffold1259.1,sp|P27643|SP5K_BACSU,Stage V sporulation protein K OS=Bacillus subtilis (strain 168) GN=spoVK PE=2 SV=3,5.71E-58,GO:0030435;GO:0005524;GO:0000166,K06413,PF01302;PF00004,30.64326341,2.794234689,0.204909547,13.63642997,2.43E-42,7.99E-40,TRUE,2,9,5,8,2,1,7,5,17,11,18,11,56,14,22,83,73,42,78,89,27,90,125,15,35,13,37,42,92,26,22,18,24,70,36,41,7,12,34,35,82,18,22,14,54,83,43
SymbC1.scaffold1259.3,tr|A0A1Q9CZS9|A0A1Q9CZS9_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene30254 PE=4 SV=1,2.2E-17,GO:0003723,NA,PF00013,40.30365001,-0.542781043,0.138985209,-3.905315149,0.0000941,0.000481,TRUE,48,40,39,59,54,39,73,25,67,87,107,119,55,30,24,84,58,45,64,101,25,91,111,15,29,14,28,40,88,25,47,42,48,75,31,38,3,11,36,14,58,12,20,13,42,85,32
SymbC1.scaffold1259.6,tr|A0A1Q9CZT9|A0A1Q9CZT9_SYMMI;tr|A0A1Q9D3N6|A0A1Q9D3N6_SYMMI,description1:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene30252 PE=4 SV=1//description2:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene28758 PE=4 SV=1,1.12E-56,GO:0016020;GO:0016021,NA,NA,31.68545806,-0.697932402,0.198235546,-3.520722775,0.00043,0.001856194,TRUE,29,22,30,48,39,49,24,44,119,66,68,81,31,25,10,104,47,51,66,79,37,57,130,6,17,7,23,24,50,21,27,28,36,93,20,35,5,5,24,17,42,14,9,8,35,71,11
SymbC1.scaffold1259.7,sp|Q2GQ93|DHH1_CHAGB,ATP-dependent RNA helicase DHH1 OS=Chaetomium globosum (strain ATCC 6205 / CBS 148.51 / DSM 1962 / NBRC 6347 / NRRL 1970) GN=DHH1 PE=3 SV=1,3.5E-33,GO:0006810;GO:0003676;GO:0004386;GO:0000166;GO:0016787;GO:0003723;GO:0000932;GO:0005737;GO:0006397;GO:0005524;GO:0006417;GO:0051028,NA,PF00271,32.29417384,0.699877247,0.157699634,4.438039776,0.00000908,0.0000587,TRUE,13,14,20,33,18,22,30,27,61,47,67,45,30,27,17,33,31,24,66,52,45,53,48,15,38,21,24,33,71,21,34,65,30,40,38,57,6,24,19,31,64,14,25,46,38,50,19
SymbC1.scaffold12594.1,tr|A0A1Q9EI51|A0A1Q9EI51_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene9662 PE=4 SV=1,1.04E-171,GO:0005215;GO:0016021;GO:0006810;GO:0016020,NA,PF07699;PF04069,10.52723971,0.579379338,0.243557742,2.378817172,0.017368288,0.045191255,TRUE,3,9,6,6,12,8,5,14,29,12,19,18,12,3,2,29,21,15,25,20,15,14,22,2,9,4,3,13,19,6,12,15,7,28,14,18,1,2,14,17,18,5,4,13,15,23,6
SymbC1.scaffold126.2,tr|A0A1Q9EH60|A0A1Q9EH60_SYMMI,SET domain-containing protein 4 OS=Symbiodinium microadriaticum GN=SETD4 PE=4 SV=1,0,NA,NA,NA,23.2369822,-0.508905419,0.20006836,-2.543657667,0.010969854,0.030729553,TRUE,27,26,30,39,28,26,26,15,42,41,58,84,42,17,11,41,28,20,31,77,22,47,60,10,12,6,20,19,70,15,25,19,18,38,22,13,3,5,19,6,33,6,15,4,41,64,19
SymbC1.scaffold1260.4,tr|A0A1Q9F7B8|A0A1Q9F7B8_SYMMI,Putative copper-transporting ATPase HMA5 OS=Symbiodinium microadriaticum GN=HMA5 PE=4 SV=1,4.44E-131,GO:0030001;GO:0016020;GO:0005507;GO:0046872;GO:0016021,NA,NA,23.77988219,-0.793257289,0.1631248,-4.862885884,0.00000116,0.00000906,TRUE,21,22,32,33,24,19,41,36,87,83,97,80,19,9,0,48,38,29,41,80,19,58,69,6,16,5,24,20,56,13,11,21,31,37,26,19,3,9,21,17,32,10,6,4,30,57,14
SymbC1.scaffold12600.1,tr|A0A1Q9C5L0|A0A1Q9C5L0_SYMMI,Acetyl-CoA carboxylase OS=Symbiodinium microadriaticum GN=ACC1 PE=4 SV=1,6.24E-18,GO:0006468;GO:0002161;GO:0006450;GO:0046872;GO:0005524;GO:0055114;GO:0005509;GO:0004075;GO:0005737;GO:0006633;GO:0003824;GO:0003989;GO:0016874;GO:0004672;GO:0016491;GO:0051499;GO:0000166,NA,NA,2.560205531,1.283924404,0.46665066,2.751360949,0.005934821,0.018081943,TRUE,1,0,0,2,2,3,2,1,4,2,3,1,1,3,0,6,1,1,2,4,1,5,4,0,1,1,4,3,10,1,3,7,9,4,3,0,3,2,1,2,3,2,2,1,3,12,3
SymbC1.scaffold1262.1,sp|Q9ZU34|AIP11_ARATH,Actin-interacting protein 1-1 OS=Arabidopsis thaliana GN=AIP1-1 PE=1 SV=1,4.17E-94,GO:0005515;GO:0030836;GO:0030864;GO:0003779;GO:0051015;GO:0030042;GO:0080008;GO:0042643,NA,PF00400,111.5490831,1.000861525,0.094282176,10.61559631,2.52E-26,2.23E-24,TRUE,36,74,70,90,57,36,72,71,144,109,147,125,194,113,95,259,160,123,262,255,105,227,299,71,131,42,82,108,280,46,100,159,130,186,105,133,27,53,105,109,244,69,97,46,121,268,95
SymbC1.scaffold1262.11,tr|A0A1Q9CLA1|A0A1Q9CLA1_SYMMI,Ankyrin repeat and protein kinase domain-containing protein 1 OS=Symbiodinium microadriaticum GN=ANKK1 PE=4 SV=1,2.6E-29,GO:0016020;GO:0016301;GO:0016021;GO:0016310,NA,NA,91.32143221,0.719460755,0.097331917,7.391827621,1.45E-13,3.37E-12,TRUE,53,52,53,90,60,43,97,84,146,126,163,180,91,55,45,117,94,74,148,182,64,155,143,54,105,39,88,104,289,55,108,139,118,110,115,92,23,41,94,95,238,51,63,66,117,310,82
SymbC1.scaffold1262.2,sp|Q944P0|ENT7_ARATH,Equilibrative nucleotide transporter 7 OS=Arabidopsis thaliana GN=ENT7 PE=1 SV=1,6.76E-17,GO:0005337;GO:1901642;GO:0006810;GO:0005886;GO:0016020;GO:0016021;GO:0015858,K15014,PF01733,137.3496558,0.359927283,0.084986503,4.235111121,0.0000228,0.000135,TRUE,66,86,98,156,91,83,149,203,321,221,231,271,145,50,72,244,124,141,296,313,140,275,303,75,150,77,108,104,307,81,144,213,175,236,149,181,38,44,97,137,290,86,108,86,146,334,91
SymbC1.scaffold1262.4,sp|P59941|SIR6_MOUSE,NAD-dependent protein deacetylase sirtuin-6 OS=Mus musculus GN=Sirt6 PE=1 SV=1,1.68E-15,GO:0048146;GO:0006471;GO:0005654;GO:0006476;GO:2000648;GO:0005737;GO:0046969;GO:0061647;GO:0010569;GO:0031940;GO:0003682;GO:0031667;GO:0032206;GO:0033558;GO:1905555;GO:0008285;GO:0008270;GO:1990619;GO:0016787;GO:1905564;GO:0046325;GO:0003714;GO:1905549;GO:0006284;GO:0046872;GO:0005724;GO:0003247;GO:0042593;GO:0070403;GO:0003956;GO:0017136;GO:0045892;GO:0045820;GO:0016575;GO:0031648;GO:1902732;GO:0005634,K11416,NA,115.2192951,0.210863282,0.087864707,2.399863241,0.016401198,0.043131953,TRUE,76,66,82,112,71,71,189,169,357,205,286,317,72,39,35,156,106,79,216,257,127,234,225,56,91,46,83,87,233,62,180,201,179,153,146,128,36,49,86,106,227,75,100,53,140,303,104
SymbC1.scaffold1262.6,tr|A0A1Q9CPP8|A0A1Q9CPP8_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene34188 PE=4 SV=1,5.62E-43,GO:0016021;GO:0016020,NA,NA,44.21958979,-1.125156581,0.194059883,-5.7979865,6.71E-09,7.84E-08,TRUE,19,52,60,79,49,46,130,110,170,162,188,167,58,37,18,78,55,58,153,130,91,128,115,5,10,4,10,10,24,22,42,22,22,64,6,70,13,8,23,30,48,13,17,21,24,47,13
SymbC1.scaffold12627.2,sp|Q59094|SODM_ACIAD,Superoxide dismutase [Mn] OS=Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1) GN=sodA PE=3 SV=1,3.85E-75,GO:0006801;GO:0046872;GO:0004784;GO:0016491;GO:0042597;GO:0055114;GO:0019430,K04564,PF02777;PF00081,57.91579579,-0.278209564,0.106678912,-2.607915288,0.00910955,0.026223677,TRUE,61,48,47,67,60,39,121,77,134,158,148,165,48,21,24,86,46,54,100,151,67,137,131,28,39,21,35,48,101,35,86,78,51,101,70,62,13,28,41,45,99,33,33,22,63,120,33
SymbC1.scaffold1263.7,sp|P74312|ARREH_SYNY3,NADPH-dependent quinone reductase ArsH OS=Synechocystis sp. (strain PCC 6803 / Kazusa) GN=arsH PE=1 SV=1,6.04E-29,GO:0008753;GO:0016491;GO:0010181;GO:0003955;GO:0055114;GO:0052851;GO:0010038;GO:0051289;GO:0000166,K11811,NA,15.46967637,0.968477114,0.217840355,4.445811314,0.00000876,0.0000569,TRUE,13,6,7,19,4,5,17,4,31,20,22,18,9,10,4,14,15,14,25,29,7,19,14,18,17,6,23,11,47,16,19,31,24,19,31,17,7,2,15,19,47,7,10,3,30,50,17
SymbC1.scaffold12636.1,tr|A0A1Q9CAB9|A0A1Q9CAB9_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene39899 PE=4 SV=1,2.86E-53,NA,NA,NA,7.982988754,0.908950919,0.277244768,3.278514236,0.001043551,0.004016664,TRUE,5,4,4,9,5,2,1,1,8,5,11,17,10,6,5,29,9,19,15,22,4,18,18,5,13,2,7,5,33,6,8,10,8,15,8,7,4,0,9,6,15,5,1,2,11,23,11
SymbC1.scaffold1264.1,tr|A0A1Q9E053|A0A1Q9E053_SYMMI;tr|A0A1Q9DJM4|A0A1Q9DJM4_SYMMI,description1:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene16527 PE=4 SV=1//description2:Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene22515 PE=4 SV=1,8.90E-08,GO:0016020;GO:0016021,NA,NA,1.380346364,-4.337831071,0.698726283,-6.208197941,5.36E-10,7.44E-09,TRUE,3,4,3,5,3,2,8,6,14,8,23,12,0,0,0,1,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold1264.5,sp|E9QAM5|HELZ2_MOUSE,Helicase with zinc finger domain 2 OS=Mus musculus GN=Helz2 PE=1 SV=1,6.87E-54,GO:0000166;GO:0016787;GO:0004386;GO:0005654;GO:0003676;GO:0006351;GO:0016020;GO:0005524;GO:0030374;GO:0046872;GO:0006355;GO:0003677;GO:0003723;GO:0045944;GO:0005634,NA,PF13086;PF13639;PF13087,44.69056579,0.362543806,0.121500577,2.983885474,0.002846133,0.009617241,TRUE,25,25,37,58,44,23,55,34,103,96,86,116,44,28,13,45,34,44,66,80,32,68,63,24,41,24,55,44,117,28,37,78,49,65,51,42,17,17,57,51,114,22,20,14,71,125,51
SymbC1.scaffold1264.9,tr|A0A1Q9ETM3|A0A1Q9ETM3_SYMMI,Epithelial splicing regulatory protein 1 OS=Symbiodinium microadriaticum GN=esrp1 PE=4 SV=1,1.06E-24,GO:0003676,NA,PF00076,13.19725481,0.495116847,0.188703571,2.623781014,0.008695968,0.025197892,TRUE,3,4,10,8,16,13,10,11,35,16,25,33,16,8,4,33,23,16,20,29,18,20,31,5,6,4,12,18,37,8,14,19,16,17,11,10,2,4,12,12,35,6,13,12,20,38,9
SymbC1.scaffold12642.1,tr|A0A1Q9CHZ7|A0A1Q9CHZ7_SYMMI,Putative polyketide synthase 3 OS=Symbiodinium microadriaticum GN=pks3 PE=4 SV=1,9.27E-65,NA,NA,NA,26.57908897,-0.877245678,0.160304263,-5.472378985,4.44E-08,0.000000451,TRUE,21,29,34,42,35,28,49,63,100,82,98,100,26,17,11,22,19,12,29,36,45,38,35,9,18,16,17,17,56,9,28,50,27,36,19,35,6,10,8,18,36,15,27,4,20,41,11
SymbC1.scaffold12644.1,tr|A0A1Q9EMN7|A0A1Q9EMN7_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene7833 PE=4 SV=1,4.08E-07,NA,NA,NA,3.793943416,-1.148573866,0.349999146,-3.28164762,0.001032025,0.003975579,TRUE,3,1,5,6,6,7,4,7,16,17,14,17,5,1,4,5,2,1,5,10,4,7,4,1,3,2,2,1,5,3,7,4,5,3,2,3,0,3,1,1,5,1,1,3,3,7,1
SymbC1.scaffold12648.1,tr|A0A1Q9F2L9|A0A1Q9F2L9_SYMMI,Putative ER lumen protein-retaining receptor C28H8.4 OS=Symbiodinium microadriaticum GN=C28H8.4 PE=4 SV=1,1.12E-47,GO:0005783;GO:0016020;GO:0006468;GO:0016787;GO:0003824;GO:0006508;GO:0016021;GO:0004672;GO:0005524;GO:0005509;GO:0004190;GO:0006621;GO:0008152;GO:0046923,NA,PF02230,11.78159837,0.461141268,0.192280715,2.398271024,0.016472672,0.043294523,TRUE,2,8,7,11,10,8,12,14,28,22,34,24,11,10,8,15,14,7,19,26,14,18,33,8,14,6,8,11,34,2,8,20,9,17,9,24,3,4,10,15,33,9,8,1,12,36,10
SymbC1.scaffold1265.1,sp|Q6Z2T3|NIP21_ORYSJ,Aquaporin NIP2-1 OS=Oryza sativa subsp. japonica GN=NIP2-1 PE=1 SV=1,1.05E-08,GO:0015115;GO:0005887;GO:0015250;GO:0006810;GO:0016020;GO:0015708;GO:0048226;GO:0016021;GO:0005215;GO:0005886;GO:0006833,K09874,PF00230,89.28975921,-0.724668874,0.166369086,-4.355790429,0.0000133,0.0000826,TRUE,76,98,92,108,88,74,104,106,235,167,255,307,139,60,45,219,141,144,161,321,67,225,284,27,47,25,74,73,228,56,86,55,123,173,84,51,4,19,93,29,96,26,22,25,113,254,60
SymbC1.scaffold1266.1,sp|Q93VG8|PPDEX_ARATH,DeSI-like protein At4g17486 OS=Arabidopsis thaliana GN=At4g17486 PE=2 SV=1,6.21E-20,GO:0006508;GO:0016787;GO:0008233,NA,PF05903,4.669029943,1.392662827,0.351266847,3.964686213,0.0000735,0.000386,TRUE,1,1,2,6,2,1,7,1,8,10,7,2,4,1,1,2,4,3,10,14,1,5,7,6,6,1,7,4,14,4,2,1,6,3,11,5,2,1,10,7,14,3,5,1,11,19,6
SymbC1.scaffold1266.2,tr|R1CBA0|R1CBA0_EMIHU,Uncharacterized protein OS=Emiliania huxleyi GN=EMIHUDRAFT_436110 PE=4 SV=1,5.78E-14,NA,NA,NA,12.06465676,-0.575512472,0.196403223,-2.930259815,0.003386787,0.011192854,TRUE,8,11,16,26,6,12,28,18,46,36,43,29,17,5,12,21,12,13,24,14,16,20,17,2,8,9,7,9,18,4,11,13,8,11,6,12,2,4,13,10,16,6,10,5,6,29,7
SymbC1.scaffold1266.3,tr|A0A1Q9E9M7|A0A1Q9E9M7_SYMMI,Uncharacterized protein OS=Symbiodinium microadriaticum GN=AK812_SmicGene12835 PE=4 SV=1,2.94E-13,GO:0016020;GO:0016021,NA,NA,57.42008769,0.268173711,0.098413213,2.724976699,0.006430603,0.019377361,TRUE,22,33,42,63,53,39,79,65,122,98,165,117,57,36,20,120,66,62,118,127,46,122,134,18,60,44,40,44,133,37,64,84,66,92,51,77,11,23,71,43,140,29,38,24,61,157,42
